movimiento_id,numero_cuenta,fecha,descripcion,monto,tipo,canal,ubicacion
MOV-0000024,191-8933261-0-97,2026-08-17,Café Andino,1230.11,ABONO,APP,Miraflores
MOV-0000025,191-8933261-0-97,2026-08-20,Tienda Aurora,-228.87,CARGO,ATM,Comas
MOV-0000026,191-8933261-0-97,2026-07-28,StreamAndina,-553.67,CARGO,APP,San Miguel
MOV-0000027,191-8933261-0-97,2026-08-30,StreamAndina,-755.3,CARGO,APP,Callao
MOV-0000028,191-8933261-0-97,2026-08-20,Delivery Ñam,-1393.59,CARGO,APP,Ate
MOV-0000029,191-8933261-0-97,2026-08-06,Farmacia Pacha,-231.62,CARGO,WEB,Magdalena del Mar
MOV-0000030,191-8933261-0-97,2026-08-15,StreamAndina,-355.09,CARGO,POS,EN_LINEA
MOV-0000031,191-8933261-0-97,2026-08-20,Botica Sumaq,-172.54,CARGO,TRANSFERENCIA_INMEDIATA,Chorrillos
MOV-0000032,191-8933261-0-97,2026-07-11,Grifo Wayra,-1268.96,CARGO,APP,Lince
MOV-0000033,191-2971485-0-31,2026-09-04,Farmacia Pacha,-675.81,CARGO,INTIPAY,San Juan de Lurigancho
MOV-0000034,191-2971485-0-31,2026-08-10,Café Andino,-78.11,CARGO,INTIPAY,EN_LINEA
MOV-0000035,191-2971485-0-31,2026-06-26,Mercado Inti,1288.32,ABONO,POS,Magdalena del Mar
MOV-0000036,191-2971485-0-31,2026-07-21,Café Andino,-195.03,CARGO,ATM,EN_LINEA
MOV-0000037,191-2971485-0-31,2026-06-25,StreamAndina,797.92,ABONO,POS,La Molina
MOV-0000038,191-2971485-0-31,2026-07-07,TaxiYa,-16.74,CARGO,ATM,Jesús María
MOV-0000039,191-2971485-0-31,2026-07-28,Mercado Inti,-236.53,CARGO,APP,EN_LINEA
MOV-0000040,191-2971485-0-31,2026-07-09,TaxiYa,1337.94,ABONO,TRANSFERENCIA_INMEDIATA,Surquillo
MOV-0000041,191-2971485-0-31,2026-06-19,Grifo Wayra,-424.63,CARGO,APP,Magdalena del Mar
MOV-0000042,191-2971485-0-31,2026-08-17,Café Andino,-54.67,CARGO,TRANSFERENCIA_INMEDIATA,Los Olivos
MOV-0000043,191-6407061-0-12,2026-07-31,Ferretería Nexo,1286.46,ABONO,TRANSFERENCIA_INMEDIATA,Callao
MOV-0000044,191-6407061-0-12,2026-08-28,Ferretería Nexo,-88.63,CARGO,POS,Jesús María
MOV-0000045,191-6407061-0-12,2026-07-06,Mercado Inti,929.75,ABONO,TRANSFERENCIA_DIFERIDA,San Miguel
MOV-0000046,191-6407061-0-12,2026-07-17,Farmacia Pacha,-996.8,CARGO,POS,Magdalena del Mar
MOV-0000047,191-6407061-0-12,2026-08-31,Cajero Banco Inti,-840.12,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000048,191-6407061-0-12,2026-06-24,Farmacia Pacha,-1203.75,CARGO,WEB,La Molina
MOV-0000049,191-6407061-0-12,2026-09-02,Café Andino,-868.11,CARGO,WEB,San Juan de Lurigancho
MOV-0000050,191-6407061-0-12,2026-08-09,Ferretería Nexo,-986.87,CARGO,APP,EN_LINEA
MOV-0000051,191-6407061-0-12,2026-07-30,Grifo Wayra,-1190.89,CARGO,INTIPAY,EN_LINEA
MOV-0000052,191-6407061-0-12,2026-08-17,Grifo Wayra,989.57,ABONO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000053,191-6407061-0-12,2026-07-03,Café Andino,-787.99,CARGO,TRANSFERENCIA_INMEDIATA,San Miguel
MOV-0000054,191-6407061-0-12,2026-07-13,Minimarket Tumi,-452.97,CARGO,ATM,Independencia
MOV-0000055,191-6407061-0-12,2026-08-09,Farmacia Pacha,-571.01,CARGO,INTIPAY,EN_LINEA
MOV-0000056,191-6407061-0-12,2026-07-27,StreamAndina,740.61,ABONO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000057,191-9893276-0-77,2026-07-23,Ferretería Nexo,-1262.76,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000058,191-9893276-0-77,2026-08-20,Transferencia P2P,-477.72,CARGO,INTIPAY,San Juan de Lurigancho
MOV-0000059,191-9893276-0-77,2026-07-17,Farmacia Pacha,-963.02,CARGO,TRANSFERENCIA_DIFERIDA,San Borja
MOV-0000060,191-9893276-0-77,2026-07-24,Cine Estelar,-511.29,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000061,191-9893276-0-77,2026-06-17,Café Andino,-203.24,CARGO,ATM,La Molina
MOV-0000062,191-9893276-0-77,2026-07-31,Botica Sumaq,326.81,ABONO,POS,Jesús María
MOV-0000063,191-9893276-0-77,2026-06-13,Cine Estelar,-655.05,CARGO,TRANSFERENCIA_INMEDIATA,Villa El Salvador
MOV-0000064,191-9893276-0-77,2026-06-27,Botica Sumaq,1148.11,ABONO,POS,Callao
MOV-0000065,191-9893276-0-77,2026-08-04,Cine Estelar,-432.59,CARGO,POS,Independencia
MOV-0000066,191-2277795-0-93,2026-07-30,Delivery Ñam,-1365.61,CARGO,TRANSFERENCIA_INMEDIATA,Magdalena del Mar
MOV-0000067,191-2277795-0-93,2026-09-02,Cajero Banco Inti,-1237.34,CARGO,INTIPAY,EN_LINEA
MOV-0000068,191-2277795-0-93,2026-07-05,Café Andino,-1214.57,CARGO,TRANSFERENCIA_DIFERIDA,San Isidro
MOV-0000069,191-2277795-0-93,2026-08-31,Delivery Ñam,-1001.96,CARGO,WEB,San Miguel
MOV-0000070,191-2277795-0-93,2026-07-17,Café Andino,-281.41,CARGO,ATM,EN_LINEA
MOV-0000071,191-2277795-0-93,2026-07-22,Farmacia Pacha,-1107.92,CARGO,INTIPAY,Jesús María
MOV-0000072,191-2277795-0-93,2026-08-29,Grifo Wayra,-567.78,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000073,191-2277795-0-93,2026-07-14,Grifo Wayra,-1203.01,CARGO,INTIPAY,Miraflores
MOV-0000074,191-2277795-0-93,2026-08-26,Grifo Wayra,668.72,ABONO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000075,191-2277795-0-93,2026-07-28,Grifo Wayra,-642.24,CARGO,ATM,Magdalena del Mar
MOV-0000076,191-2277795-0-93,2026-09-03,Mercado Inti,743.08,ABONO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000077,191-2488683-0-90,2026-08-03,Cajero Banco Inti,-105.17,CARGO,INTIPAY,San Juan de Lurigancho
MOV-0000078,191-2488683-0-90,2026-08-13,StreamAndina,-484.06,CARGO,INTIPAY,San Isidro
MOV-0000079,191-2488683-0-90,2026-07-08,Ferretería Nexo,566.45,ABONO,TRANSFERENCIA_INMEDIATA,Villa El Salvador
MOV-0000080,191-2488683-0-90,2026-07-06,Mercado Inti,-1221.29,CARGO,WEB,Santiago de Surco
MOV-0000081,191-2488683-0-90,2026-06-25,Cajero Banco Inti,-183.53,CARGO,ATM,Los Olivos
MOV-0000082,191-2488683-0-90,2026-08-02,Tienda Aurora,-678.28,CARGO,WEB,San Borja
MOV-0000083,191-2488683-0-90,2026-07-10,Botica Sumaq,-1372.0,CARGO,APP,Independencia
MOV-0000084,191-2488683-0-90,2026-08-01,Ferretería Nexo,-1099.51,CARGO,APP,San Borja
MOV-0000085,191-2488683-0-90,2026-07-21,Cajero Banco Inti,-754.88,CARGO,TRANSFERENCIA_INMEDIATA,Pueblo Libre
MOV-0000086,191-2488683-0-90,2026-07-12,Cajero Banco Inti,-772.2,CARGO,WEB,Surquillo
MOV-0000087,191-2488683-0-90,2026-06-18,Botica Sumaq,-325.33,CARGO,INTIPAY,Barranco
MOV-0000088,191-2488683-0-90,2026-07-31,Supermercado Kori,-241.62,CARGO,APP,EN_LINEA
MOV-0000089,191-2488683-0-90,2026-08-21,Transferencia P2P,-162.62,CARGO,APP,Santiago de Surco
MOV-0000090,191-2488683-0-90,2026-07-09,Ferretería Nexo,533.41,ABONO,TRANSFERENCIA_DIFERIDA,Barranco
MOV-0000091,191-7024321-0-84,2026-08-11,Ferretería Nexo,-613.6,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000092,191-7024321-0-84,2026-08-11,Mercado Inti,-790.28,CARGO,POS,EN_LINEA
MOV-0000093,191-7024321-0-84,2026-08-18,Ferretería Nexo,-249.87,CARGO,INTIPAY,San Isidro
MOV-0000094,191-7024321-0-84,2026-09-03,Transferencia P2P,-1294.87,CARGO,POS,San Juan de Lurigancho
MOV-0000095,191-7024321-0-84,2026-07-24,Cajero Banco Inti,-1011.2,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000096,191-7024321-0-84,2026-07-06,TaxiYa,-560.58,CARGO,WEB,San Miguel
MOV-0000097,191-7024321-0-84,2026-07-01,Supermercado Kori,-1099.92,CARGO,INTIPAY,Santiago de Surco
MOV-0000098,191-7024321-0-84,2026-08-02,Tienda Aurora,-232.49,CARGO,ATM,Chorrillos
MOV-0000099,191-7024321-0-84,2026-07-01,Tienda Aurora,1061.2,ABONO,INTIPAY,EN_LINEA
MOV-0000100,191-7024321-0-84,2026-06-11,Cajero Banco Inti,-1177.5,CARGO,APP,EN_LINEA
MOV-0000101,191-7024321-0-84,2026-06-17,Minimarket Tumi,-515.78,CARGO,APP,Comas
MOV-0000102,191-7024321-0-84,2026-06-15,Mercado Inti,-836.13,CARGO,ATM,EN_LINEA
MOV-0000103,191-7024321-0-84,2026-06-07,StreamAndina,-189.38,CARGO,WEB,Santiago de Surco
MOV-0000104,191-6964308-0-64,2026-08-25,Cine Estelar,-594.99,CARGO,TRANSFERENCIA_DIFERIDA,Santiago de Surco
MOV-0000105,191-6964308-0-64,2026-06-15,Ferretería Nexo,881.13,ABONO,POS,EN_LINEA
MOV-0000106,191-6964308-0-64,2026-08-25,Farmacia Pacha,-500.91,CARGO,APP,Callao
MOV-0000107,191-6964308-0-64,2026-06-25,Delivery Ñam,1064.93,ABONO,ATM,Comas
MOV-0000108,191-6964308-0-64,2026-07-19,Ferretería Nexo,-1049.45,CARGO,WEB,Pueblo Libre
MOV-0000109,191-6964308-0-64,2026-08-27,Grifo Wayra,-158.69,CARGO,POS,Pueblo Libre
MOV-0000110,191-6964308-0-64,2026-07-21,Transferencia P2P,-298.77,CARGO,TRANSFERENCIA_INMEDIATA,San Borja
MOV-0000111,191-6964308-0-64,2026-07-14,Supermercado Kori,953.28,ABONO,TRANSFERENCIA_DIFERIDA,Miraflores
MOV-0000112,191-6964308-0-64,2026-08-09,Cine Estelar,685.59,ABONO,INTIPAY,EN_LINEA
MOV-0000113,191-2275088-0-33,2026-07-13,Mercado Inti,-429.52,CARGO,INTIPAY,EN_LINEA
MOV-0000114,191-2275088-0-33,2026-09-01,Ferretería Nexo,-1096.92,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000115,191-2275088-0-33,2026-06-17,Farmacia Pacha,-494.91,CARGO,ATM,Barranco
MOV-0000116,191-2275088-0-33,2026-06-24,Minimarket Tumi,-434.33,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000117,191-2275088-0-33,2026-09-01,Mercado Inti,278.83,ABONO,APP,EN_LINEA
MOV-0000118,191-2275088-0-33,2026-06-20,Mercado Inti,-17.11,CARGO,TRANSFERENCIA_DIFERIDA,Independencia
MOV-0000119,191-2275088-0-33,2026-07-19,Café Andino,-359.81,CARGO,TRANSFERENCIA_DIFERIDA,Barranco
MOV-0000120,191-2275088-0-33,2026-07-11,Botica Sumaq,-1258.83,CARGO,ATM,Lince
MOV-0000121,191-2275088-0-33,2026-08-12,Botica Sumaq,-1145.91,CARGO,APP,EN_LINEA
MOV-0000122,191-2275088-0-33,2026-07-15,Cajero Banco Inti,-1299.52,CARGO,APP,Ate
MOV-0000123,191-2275088-0-33,2026-08-11,Botica Sumaq,-60.89,CARGO,APP,EN_LINEA
MOV-0000124,191-2275088-0-33,2026-06-18,Farmacia Pacha,-323.06,CARGO,TRANSFERENCIA_DIFERIDA,Callao
MOV-0000125,191-2729849-0-86,2026-09-04,Delivery Ñam,-1161.12,CARGO,POS,Surquillo
MOV-0000126,191-2729849-0-86,2026-08-05,Botica Sumaq,1106.13,ABONO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000127,191-2729849-0-86,2026-08-04,Supermercado Kori,-529.67,CARGO,APP,Independencia
MOV-0000128,191-2729849-0-86,2026-08-08,Grifo Wayra,-255.68,CARGO,TRANSFERENCIA_INMEDIATA,Lince
MOV-0000129,191-2729849-0-86,2026-07-17,Grifo Wayra,-335.86,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000130,191-2729849-0-86,2026-08-08,Tienda Aurora,-1360.36,CARGO,INTIPAY,EN_LINEA
MOV-0000131,191-2729849-0-86,2026-07-01,Café Andino,-702.87,CARGO,POS,EN_LINEA
MOV-0000132,191-8674750-0-78,2026-06-10,Minimarket Tumi,1335.63,ABONO,INTIPAY,Pueblo Libre
MOV-0000133,191-8674750-0-78,2026-07-01,StreamAndina,-683.48,CARGO,INTIPAY,EN_LINEA
MOV-0000134,191-8674750-0-78,2026-08-11,Cajero Banco Inti,1308.87,ABONO,ATM,San Juan de Lurigancho
MOV-0000135,191-8674750-0-78,2026-07-27,Mercado Inti,-686.26,CARGO,ATM,EN_LINEA
MOV-0000136,191-8674750-0-78,2026-08-10,Farmacia Pacha,333.09,ABONO,TRANSFERENCIA_DIFERIDA,San Juan de Lurigancho
MOV-0000137,191-8674750-0-78,2026-08-11,Minimarket Tumi,-465.12,CARGO,ATM,Independencia
MOV-0000138,191-8674750-0-78,2026-07-22,Tienda Aurora,-439.55,CARGO,INTIPAY,Magdalena del Mar
MOV-0000139,191-8674750-0-78,2026-08-21,Transferencia P2P,-506.58,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000140,191-8674750-0-78,2026-07-04,Supermercado Kori,-656.27,CARGO,ATM,La Molina
MOV-0000141,191-8674750-0-78,2026-06-21,Café Andino,-1180.48,CARGO,POS,EN_LINEA
MOV-0000142,191-8674750-0-78,2026-08-13,Farmacia Pacha,-1358.97,CARGO,INTIPAY,Surquillo
MOV-0000143,191-8674750-0-78,2026-06-28,Grifo Wayra,-935.75,CARGO,TRANSFERENCIA_DIFERIDA,Los Olivos
MOV-0000144,191-8674750-0-78,2026-09-01,Ferretería Nexo,-789.8,CARGO,POS,Callao
MOV-0000145,191-8674750-0-78,2026-09-04,Supermercado Kori,1379.35,ABONO,TRANSFERENCIA_DIFERIDA,Independencia
MOV-0000146,191-8058129-0-48,2026-07-12,Delivery Ñam,-1110.39,CARGO,WEB,La Molina
MOV-0000147,191-8058129-0-48,2026-09-02,StreamAndina,-1114.96,CARGO,WEB,Surquillo
MOV-0000148,191-8058129-0-48,2026-06-22,Minimarket Tumi,-300.69,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000149,191-8058129-0-48,2026-07-28,Transferencia P2P,-10.79,CARGO,TRANSFERENCIA_DIFERIDA,Ate
MOV-0000150,191-8058129-0-48,2026-08-17,Mercado Inti,-762.46,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000151,191-8058129-0-48,2026-06-11,Café Andino,1278.84,ABONO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000152,191-8058129-0-48,2026-07-17,Farmacia Pacha,1309.46,ABONO,WEB,EN_LINEA
MOV-0000153,191-8058129-0-48,2026-08-10,Supermercado Kori,-1131.44,CARGO,WEB,Ate
MOV-0000154,191-8058129-0-48,2026-06-07,Transferencia P2P,-630.54,CARGO,TRANSFERENCIA_DIFERIDA,San Miguel
MOV-0000155,191-8058129-0-48,2026-06-20,Minimarket Tumi,-200.7,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000156,191-8058129-0-48,2026-09-01,Farmacia Pacha,-510.2,CARGO,APP,Barranco
MOV-0000157,191-8058129-0-48,2026-07-21,Café Andino,314.37,ABONO,WEB,EN_LINEA
MOV-0000158,191-8058129-0-48,2026-07-05,Grifo Wayra,475.71,ABONO,WEB,Independencia
MOV-0000159,191-8058129-0-48,2026-08-08,Delivery Ñam,-950.37,CARGO,TRANSFERENCIA_INMEDIATA,Independencia
MOV-0000160,191-6362380-0-90,2026-07-15,Grifo Wayra,325.76,ABONO,INTIPAY,Independencia
MOV-0000161,191-6362380-0-90,2026-08-19,Minimarket Tumi,331.18,ABONO,ATM,Callao
MOV-0000162,191-6362380-0-90,2026-08-18,StreamAndina,1247.15,ABONO,TRANSFERENCIA_DIFERIDA,San Borja
MOV-0000163,191-6362380-0-90,2026-07-27,Ferretería Nexo,-484.64,CARGO,ATM,Magdalena del Mar
MOV-0000164,191-6362380-0-90,2026-09-01,Grifo Wayra,475.93,ABONO,INTIPAY,Comas
MOV-0000165,191-6362380-0-90,2026-06-12,Mercado Inti,904.3,ABONO,APP,Pueblo Libre
MOV-0000166,191-6362380-0-90,2026-08-02,StreamAndina,-291.85,CARGO,POS,EN_LINEA
MOV-0000167,191-6362380-0-90,2026-07-18,TaxiYa,264.26,ABONO,WEB,Chorrillos
MOV-0000168,191-6362380-0-90,2026-08-04,Cine Estelar,-170.5,CARGO,ATM,Chorrillos
MOV-0000169,191-1623162-0-60,2026-08-27,Supermercado Kori,986.27,ABONO,INTIPAY,EN_LINEA
MOV-0000170,191-1623162-0-60,2026-07-17,StreamAndina,-14.37,CARGO,ATM,Callao
MOV-0000171,191-1623162-0-60,2026-07-31,Transferencia P2P,475.26,ABONO,ATM,EN_LINEA
MOV-0000172,191-1623162-0-60,2026-07-25,Mercado Inti,-782.62,CARGO,APP,EN_LINEA
MOV-0000173,191-1623162-0-60,2026-08-07,Transferencia P2P,1348.95,ABONO,APP,Los Olivos
MOV-0000174,191-1623162-0-60,2026-09-04,Minimarket Tumi,-597.82,CARGO,WEB,EN_LINEA
MOV-0000175,191-1623162-0-60,2026-07-15,Café Andino,-1324.41,CARGO,WEB,Barranco
MOV-0000176,191-1623162-0-60,2026-06-12,Cajero Banco Inti,-902.64,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000177,191-1623162-0-60,2026-07-02,Delivery Ñam,-95.31,CARGO,INTIPAY,La Molina
MOV-0000178,191-1623162-0-60,2026-08-22,Botica Sumaq,-564.33,CARGO,INTIPAY,Los Olivos
MOV-0000179,191-1769840-0-24,2026-09-04,Café Andino,1378.29,ABONO,WEB,Lince
MOV-0000180,191-1769840-0-24,2026-08-29,Cajero Banco Inti,254.78,ABONO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000181,191-1769840-0-24,2026-07-07,TaxiYa,-1187.97,CARGO,TRANSFERENCIA_DIFERIDA,Independencia
MOV-0000182,191-1769840-0-24,2026-08-06,Cine Estelar,-798.36,CARGO,ATM,Ate
MOV-0000183,191-1769840-0-24,2026-07-22,Minimarket Tumi,-1039.48,CARGO,TRANSFERENCIA_DIFERIDA,Lince
MOV-0000184,191-1769840-0-24,2026-09-04,Café Andino,1084.25,ABONO,TRANSFERENCIA_INMEDIATA,Villa El Salvador
MOV-0000185,191-1769840-0-24,2026-06-18,Tienda Aurora,888.1,ABONO,ATM,Magdalena del Mar
MOV-0000186,191-4595004-0-93,2026-07-25,Mercado Inti,-1080.32,CARGO,APP,Lince
MOV-0000187,191-4595004-0-93,2026-08-31,Ferretería Nexo,-960.3,CARGO,TRANSFERENCIA_INMEDIATA,Chorrillos
MOV-0000188,191-4595004-0-93,2026-06-17,Farmacia Pacha,-596.02,CARGO,TRANSFERENCIA_DIFERIDA,Chorrillos
MOV-0000189,191-4595004-0-93,2026-08-02,Mercado Inti,-1344.55,CARGO,APP,San Isidro
MOV-0000190,191-4595004-0-93,2026-08-04,Delivery Ñam,-866.63,CARGO,TRANSFERENCIA_INMEDIATA,Barranco
MOV-0000191,191-4595004-0-93,2026-07-08,Farmacia Pacha,-504.23,CARGO,INTIPAY,San Borja
MOV-0000192,191-4595004-0-93,2026-08-14,Café Andino,-963.35,CARGO,ATM,Callao
MOV-0000193,191-5902903-0-89,2026-06-16,Delivery Ñam,-1195.92,CARGO,TRANSFERENCIA_DIFERIDA,Independencia
MOV-0000194,191-5902903-0-89,2026-07-19,Transferencia P2P,-314.94,CARGO,TRANSFERENCIA_INMEDIATA,Barranco
MOV-0000195,191-5902903-0-89,2026-06-09,Cine Estelar,-475.04,CARGO,POS,Magdalena del Mar
MOV-0000196,191-5902903-0-89,2026-06-17,Mercado Inti,-885.14,CARGO,WEB,Magdalena del Mar
MOV-0000197,191-5902903-0-89,2026-07-08,Supermercado Kori,-48.53,CARGO,ATM,EN_LINEA
MOV-0000198,191-5902903-0-89,2026-06-20,Transferencia P2P,-1070.24,CARGO,APP,EN_LINEA
MOV-0000199,191-5902903-0-89,2026-08-10,Café Andino,-192.05,CARGO,INTIPAY,Comas
MOV-0000200,191-5902903-0-89,2026-06-25,Ferretería Nexo,-1044.2,CARGO,TRANSFERENCIA_DIFERIDA,La Molina
MOV-0000201,191-5902903-0-89,2026-08-25,StreamAndina,926.74,ABONO,INTIPAY,Jesús María
MOV-0000202,191-6918966-0-46,2026-08-01,Delivery Ñam,-411.65,CARGO,TRANSFERENCIA_DIFERIDA,San Borja
MOV-0000203,191-6918966-0-46,2026-08-30,Supermercado Kori,678.62,ABONO,POS,Surquillo
MOV-0000204,191-6918966-0-46,2026-07-31,Ferretería Nexo,-1260.71,CARGO,ATM,EN_LINEA
MOV-0000205,191-6918966-0-46,2026-06-14,Minimarket Tumi,442.3,ABONO,WEB,La Molina
MOV-0000206,191-6918966-0-46,2026-07-13,Botica Sumaq,-1137.71,CARGO,POS,Chorrillos
MOV-0000207,191-6918966-0-46,2026-09-04,Farmacia Pacha,-656.23,CARGO,POS,EN_LINEA
MOV-0000208,191-6918966-0-46,2026-08-21,Botica Sumaq,705.53,ABONO,POS,Jesús María
MOV-0000209,191-6918966-0-46,2026-06-08,Cajero Banco Inti,355.88,ABONO,TRANSFERENCIA_INMEDIATA,Villa El Salvador
MOV-0000210,191-6918966-0-46,2026-08-11,Delivery Ñam,-111.7,CARGO,POS,EN_LINEA
MOV-0000211,191-1716491-0-97,2026-07-31,Transferencia P2P,-1379.06,CARGO,INTIPAY,EN_LINEA
MOV-0000212,191-1716491-0-97,2026-08-19,Tienda Aurora,-1018.41,CARGO,TRANSFERENCIA_INMEDIATA,Ate
MOV-0000213,191-1716491-0-97,2026-08-26,Tienda Aurora,-437.89,CARGO,WEB,Surquillo
MOV-0000214,191-1716491-0-97,2026-06-10,Minimarket Tumi,-568.39,CARGO,APP,EN_LINEA
MOV-0000215,191-1716491-0-97,2026-07-01,Delivery Ñam,-1179.67,CARGO,TRANSFERENCIA_INMEDIATA,EN_LINEA
MOV-0000216,191-1716491-0-97,2026-06-15,Farmacia Pacha,-11.86,CARGO,TRANSFERENCIA_DIFERIDA,Ate
MOV-0000217,191-1716491-0-97,2026-08-13,Tienda Aurora,315.28,ABONO,TRANSFERENCIA_INMEDIATA,Independencia
MOV-0000218,191-4560474-0-32,2026-06-09,Mercado Inti,-430.56,CARGO,WEB,EN_LINEA
MOV-0000219,191-4560474-0-32,2026-07-07,Cine Estelar,-425.5,CARGO,POS,Chorrillos
MOV-0000220,191-4560474-0-32,2026-08-29,Transferencia P2P,-1169.69,CARGO,TRANSFERENCIA_INMEDIATA,Los Olivos
MOV-0000221,191-4560474-0-32,2026-08-25,Café Andino,-30.67,CARGO,ATM,Los Olivos
MOV-0000222,191-4560474-0-32,2026-06-21,Supermercado Kori,-127.8,CARGO,APP,Independencia
MOV-0000223,191-4560474-0-32,2026-09-01,StreamAndina,-825.55,CARGO,TRANSFERENCIA_INMEDIATA,San Borja
MOV-0000224,191-4560474-0-32,2026-07-17,Tienda Aurora,1116.65,ABONO,INTIPAY,EN_LINEA
MOV-0000225,191-4560474-0-32,2026-07-06,Minimarket Tumi,-1094.51,CARGO,TRANSFERENCIA_DIFERIDA,San Juan de Lurigancho
MOV-0000226,191-4560474-0-32,2026-06-17,Grifo Wayra,-326.31,CARGO,INTIPAY,Pueblo Libre
MOV-0000227,191-5006692-0-92,2026-06-19,TaxiYa,861.66,ABONO,POS,Magdalena del Mar
MOV-0000228,191-5006692-0-92,2026-07-15,Café Andino,649.91,ABONO,INTIPAY,Chorrillos
MOV-0000229,191-5006692-0-92,2026-08-27,Cine Estelar,347.17,ABONO,ATM,Miraflores
MOV-0000230,191-5006692-0-92,2026-06-13,Cajero Banco Inti,-13.1,CARGO,APP,Chorrillos
MOV-0000231,191-5006692-0-92,2026-08-16,StreamAndina,-201.89,CARGO,TRANSFERENCIA_DIFERIDA,Callao
MOV-0000232,191-5006692-0-92,2026-06-08,Café Andino,-1207.77,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000233,191-5006692-0-92,2026-06-23,Cajero Banco Inti,-601.92,CARGO,POS,Ate
